,open,high,low,close,volume
2022-01-03 00:00:00,1900.0,1908.49,1894.13,1902.61,772.0
2022-01-03 00:15:00,1902.61,1907.87,1886.26,1891.49,1223.0
2022-01-03 00:30:00,1891.49,1892.46,1883.28,1884.24,489.0
2022-01-03 00:45:00,1884.24,1891.1,1881.37,1888.21,485.0
2022-01-03 01:00:00,1888.21,1902.55,1881.38,1895.69,862.0
2022-01-03 01:15:00,1895.69,1899.95,1890.12,1894.37,685.0
2022-01-03 01:30:00,1894.37,1901.55,1890.32,1897.49,1159.0
2022-01-03 01:45:00,1897.49,1897.5,1893.12,1893.12,473.0
2022-01-03 02:00:00,1893.12,1898.55,1886.73,1892.15,876.0
2022-01-03 02:15:00,1892.15,1898.45,1890.49,1896.78,1241.0
2022-01-03 02:30:00,1896.78,1902.54,1892.9,1898.65,588.0
2022-01-03 02:45:00,1898.65,1903.01,1896.77,1901.12,493.0
2022-01-03 03:00:00,1901.12,1905.02,1893.22,1897.1,505.0
2022-01-03 03:15:00,1897.1,1908.95,1893.55,1905.39,857.0
2022-01-03 03:30:00,1905.39,1918.31,1897.51,1910.42,686.0
2022-01-03 03:45:00,1910.42,1920.03,1908.21,1917.81,659.0
2022-01-03 04:00:00,1917.81,1919.22,1908.48,1909.89,592.0
2022-01-03 04:15:00,1909.89,1915.75,1905.39,1911.25,1281.0
2022-01-03 04:30:00,1911.25,1920.3,1896.54,1905.57,534.0
2022-01-03 04:45:00,1905.57,1908.87,1898.25,1901.55,411.0
2022-01-03 05:00:00,1901.55,1914.45,1894.37,1907.25,975.0
2022-01-03 05:15:00,1907.25,1909.8,1892.34,1894.87,676.0
2022-01-03 05:30:00,1894.87,1902.52,1879.55,1887.17,708.0
2022-01-03 05:45:00,1887.17,1892.53,1873.91,1879.25,422.0
2022-01-03 06:00:00,1879.25,1891.27,1874.37,1886.37,496.0
2022-01-03 06:15:00,1886.37,1888.34,1872.19,1874.14,751.0
2022-01-03 06:30:00,1874.14,1883.22,1865.24,1874.32,777.0
2022-01-03 06:45:00,1874.32,1880.19,1870.32,1876.18,526.0
2022-01-03 07:00:00,1876.18,1891.77,1873.0,1888.57,425.0
2022-01-03 07:15:00,1888.57,1889.47,1876.02,1876.91,901.0
2022-01-03 07:30:00,1876.91,1884.04,1861.26,1868.35,719.0
2022-01-03 07:45:00,1868.35,1874.05,1866.15,1871.84,400.0
2022-01-03 08:00:00,1871.84,1875.89,1860.97,1865.0,546.0
2022-01-03 08:15:00,1865.0,1867.34,1863.98,1866.32,482.0
2022-01-03 08:30:00,1866.32,1871.4,1857.18,1862.24,796.0
2022-01-03 08:45:00,1862.24,1873.69,1859.07,1870.5,886.0
2022-01-03 09:00:00,1870.5,1874.16,1860.75,1864.4,1088.0
2022-01-03 09:15:00,1864.4,1875.7,1860.95,1872.23,464.0
2022-01-03 09:30:00,1872.23,1873.46,1865.5,1866.73,431.0
2022-01-03 09:45:00,1866.73,1872.21,1863.83,1869.31,1169.0
2022-01-03 10:00:00,1869.31,1883.75,1859.19,1873.6,2819.0
2022-01-03 10:15:00,1873.6,1882.36,1871.3,1880.05,1408.0
2022-01-03 10:30:00,1880.05,1880.44,1859.2,1859.59,1637.0
2022-01-03 10:45:00,1859.59,1882.2,1858.87,1881.47,767.0
2022-01-03 11:00:00,1881.47,1893.83,1878.84,1891.19,1704.0
2022-01-03 11:15:00,1891.19,1914.44,1880.03,1903.21,421.0
2022-01-03 11:30:00,1903.21,1903.36,1902.64,1902.79,720.0
2022-01-03 11:45:00,1902.79,1919.08,1894.4,1910.65,1003.0
2022-01-03 12:00:00,1910.65,1919.18,1906.33,1914.85,447.0
2022-01-03 12:15:00,1914.85,1928.18,1913.1,1926.41,957.0
2022-01-03 12:30:00,1926.41,1934.12,1920.81,1928.51,626.0
2022-01-03 12:45:00,1928.51,1957.97,1921.11,1950.49,1044.0
2022-01-03 13:00:00,1950.49,1953.99,1934.21,1937.68,1243.0
2022-01-03 13:15:00,1937.68,1937.79,1931.88,1931.99,709.0
2022-01-03 13:30:00,1931.99,1935.22,1924.16,1927.39,830.0
2022-01-03 13:45:00,1927.39,1929.07,1913.04,1914.71,816.0
2022-01-03 14:00:00,1914.71,1941.75,1903.65,1930.6,679.0
2022-01-03 14:15:00,1930.6,1953.71,1922.63,1945.68,415.0
2022-01-03 14:30:00,1945.68,1952.46,1942.71,1949.49,462.0
2022-01-03 14:45:00,1949.49,1954.76,1941.88,1947.15,2341.0
2022-01-03 15:00:00,1947.15,1965.33,1937.91,1956.05,1454.0
2022-01-03 15:15:00,1956.05,1971.9,1933.9,1949.71,444.0
2022-01-03 15:30:00,1949.71,1972.85,1945.06,1968.16,489.0
2022-01-03 15:45:00,1968.16,1984.92,1953.73,1970.47,515.0
2022-01-03 16:00:00,1970.47,1975.04,1970.16,1974.73,543.0
2022-01-03 16:15:00,1974.73,1976.82,1968.46,1970.55,1430.0
2022-01-03 16:30:00,1970.55,1973.05,1967.13,1969.63,446.0
2022-01-03 16:45:00,1969.63,1977.42,1959.75,1967.53,1543.0
2022-01-03 17:00:00,1967.53,1970.01,1949.59,1952.04,485.0
2022-01-03 17:15:00,1952.04,1953.41,1947.79,1949.16,420.0
2022-01-03 17:30:00,1949.16,1961.15,1948.6,1960.59,730.0
2022-01-03 17:45:00,1960.59,1977.09,1959.55,1976.04,620.0
2022-01-03 18:00:00,1976.04,1976.99,1975.68,1976.63,429.0
2022-01-03 18:15:00,1976.63,1985.94,1965.64,1974.94,716.0
2022-01-03 18:30:00,1974.94,1984.04,1972.35,1981.44,410.0
2022-01-03 18:45:00,1981.44,1996.37,1980.05,1994.96,1511.0
2022-01-03 19:00:00,1994.96,1999.22,1991.0,1995.26,661.0
2022-01-03 19:15:00,1995.26,2008.09,1992.83,2005.66,725.0
2022-01-03 19:30:00,2005.66,2008.51,2003.46,2006.31,1203.0
2022-01-03 19:45:00,2006.31,2012.19,2005.77,2011.65,1295.0
2022-01-03 20:00:00,2011.65,2026.1,2004.91,2019.33,611.0
2022-01-03 20:15:00,2019.33,2028.85,2011.94,2021.46,434.0
2022-01-03 20:30:00,2021.46,2023.2,2018.34,2020.07,735.0
2022-01-03 20:45:00,2020.07,2037.09,2016.59,2033.58,616.0
2022-01-03 21:00:00,2033.58,2043.01,2031.91,2041.32,904.0
2022-01-03 21:15:00,2041.32,2046.76,2040.99,2046.42,545.0
2022-01-03 21:30:00,2046.42,2070.38,2037.35,2061.25,553.0
2022-01-03 21:45:00,2061.25,2063.54,2047.4,2049.67,959.0
2022-01-03 22:00:00,2049.67,2058.66,2045.53,2054.51,475.0
2022-01-03 22:15:00,2054.51,2061.85,2045.07,2052.4,975.0
2022-01-03 22:30:00,2052.4,2062.9,2048.95,2059.43,610.0
2022-01-03 22:45:00,2059.43,2066.08,2054.61,2061.26,444.0
2022-01-03 23:00:00,2061.26,2067.86,2052.2,2058.79,559.0
2022-01-03 23:15:00,2058.79,2061.42,2042.5,2045.11,509.0
2022-01-03 23:30:00,2045.11,2050.44,2037.16,2042.49,922.0
2022-01-03 23:45:00,2042.49,2051.65,2026.3,2035.43,644.0
2022-01-04 00:00:00,2035.43,2039.1,2032.6,2036.27,429.0
2022-01-04 00:15:00,2036.27,2037.78,2031.49,2032.99,2055.0
2022-01-04 00:30:00,2032.99,2039.5,2030.09,2036.59,663.0
2022-01-04 00:45:00,2036.59,2048.21,2033.51,2045.12,858.0
2022-01-04 01:00:00,2045.12,2046.65,2032.92,2034.45,1059.0
2022-01-04 01:15:00,2034.45,2059.34,2031.21,2056.07,1370.0
2022-01-04 01:30:00,2056.07,2057.59,2049.11,2050.63,950.0
2022-01-04 01:45:00,2050.63,2087.03,2046.57,2082.9,2914.0
2022-01-04 02:00:00,2082.9,2107.09,2076.79,2100.92,867.0
2022-01-04 02:15:00,2100.92,2112.94,2075.03,2086.97,1406.0
2022-01-04 02:30:00,2086.97,2090.28,2076.04,2079.34,959.0
2022-01-04 02:45:00,2079.34,2091.65,2072.85,2085.14,1925.0
2022-01-04 03:00:00,2085.14,2102.98,2077.71,2095.51,2030.0
2022-01-04 03:15:00,2095.51,2154.42,2080.91,2139.52,1377.0
2022-01-04 03:30:00,2139.52,2155.73,2133.31,2149.49,2925.0
2022-01-04 03:45:00,2149.49,2157.58,2126.88,2134.91,1111.0
2022-01-04 04:00:00,2134.91,2153.74,2134.71,2153.54,1004.0
2022-01-04 04:15:00,2153.54,2171.23,2152.05,2169.73,1152.0
2022-01-04 04:30:00,2169.73,2178.58,2135.2,2143.94,1583.0
2022-01-04 04:45:00,2143.94,2149.16,2088.61,2093.71,1281.0
2022-01-04 05:00:00,2093.71,2102.15,2059.39,2067.73,2072.0
2022-01-04 05:15:00,2067.73,2078.22,2062.98,2073.45,1409.0
2022-01-04 05:30:00,2073.45,2106.66,2067.53,2100.66,2329.0
2022-01-04 05:45:00,2100.66,2106.48,2087.44,2093.25,2452.0
2022-01-04 06:00:00,2093.25,2124.28,2088.65,2119.62,1856.0
2022-01-04 06:15:00,2119.62,2124.3,2088.63,2093.25,1419.0
2022-01-04 06:30:00,2093.25,2101.18,2045.77,2053.55,1233.0
2022-01-04 06:45:00,2053.55,2060.74,2043.43,2050.61,2161.0
2022-01-04 07:00:00,2050.61,2057.76,2027.06,2034.15,953.0
2022-01-04 07:15:00,2034.15,2040.96,2032.17,2038.99,1081.0
2022-01-04 07:30:00,2038.99,2044.09,2021.67,2026.74,838.0
2022-01-04 07:45:00,2026.74,2032.85,2026.07,2032.18,757.0
2022-01-04 08:00:00,2032.18,2046.9,2029.54,2044.25,2752.0
2022-01-04 08:15:00,2044.25,2051.04,2013.99,2020.71,964.0
2022-01-04 08:30:00,2020.71,2024.03,2020.47,2023.79,1482.0
2022-01-04 08:45:00,2023.79,2031.43,2022.06,2029.69,1845.0
2022-01-04 09:00:00,2029.69,2036.4,2005.72,2012.37,1523.0
2022-01-04 09:15:00,2012.37,2020.84,2007.72,2016.17,1204.0
2022-01-04 09:30:00,2016.17,2050.34,2011.68,2045.78,1655.0
2022-01-04 09:45:00,2045.78,2047.52,2037.12,2038.86,1643.0
2022-01-04 10:00:00,2038.86,2040.61,2008.41,2010.13,836.0
2022-01-04 10:15:00,2010.13,2010.82,1999.24,1999.93,1707.0
2022-01-04 10:30:00,1999.93,2003.61,1969.52,1973.15,1139.0
2022-01-04 10:45:00,1973.15,1980.99,1972.37,1980.22,1064.0
2022-01-04 11:00:00,1980.22,1993.98,1970.31,1984.06,1707.0
2022-01-04 11:15:00,1984.06,2003.92,1966.62,1986.46,718.0
2022-01-04 11:30:00,1986.46,1992.45,1976.8,1982.78,1181.0
2022-01-04 11:45:00,1982.78,2010.4,1978.1,2005.66,1154.0
2022-01-04 12:00:00,2005.66,2011.52,1997.22,2003.08,588.0
2022-01-04 12:15:00,2003.08,2010.02,1982.77,1989.65,647.0
2022-01-04 12:30:00,1989.65,1995.95,1988.88,1995.17,489.0
2022-01-04 12:45:00,1995.17,2002.41,1984.45,1991.67,843.0
2022-01-04 13:00:00,1991.67,1993.86,1979.62,1981.8,550.0
2022-01-04 13:15:00,1981.8,2002.25,1972.25,1992.64,529.0
2022-01-04 13:30:00,1992.64,2003.76,1973.49,1984.57,591.0
2022-01-04 13:45:00,1984.57,1993.8,1979.66,1988.88,544.0
2022-01-04 14:00:00,1988.88,1993.81,1986.39,1991.32,484.0
2022-01-04 14:15:00,1991.32,2021.0,1983.18,2012.78,601.0
2022-01-04 14:30:00,2012.78,2021.38,2011.6,2020.19,765.0
2022-01-04 14:45:00,2020.19,2024.37,2011.48,2015.65,415.0
2022-01-04 15:00:00,2015.65,2032.07,2012.88,2029.28,819.0
2022-01-04 15:15:00,2029.28,2047.97,2019.35,2037.99,1078.0
2022-01-04 15:30:00,2037.99,2052.23,2002.74,2016.83,1163.0
2022-01-04 15:45:00,2016.83,2023.43,2008.01,2014.6,474.0
2022-01-04 16:00:00,2014.6,2014.96,2005.41,2005.77,440.0
2022-01-04 16:15:00,2005.77,2009.51,2001.91,2005.65,422.0
2022-01-04 16:30:00,2005.65,2010.75,1998.66,2003.75,985.0
2022-01-04 16:45:00,2003.75,2010.41,1987.92,1994.55,746.0
2022-01-04 17:00:00,1994.55,1997.62,1978.13,1981.17,441.0
2022-01-04 17:15:00,1981.17,1983.94,1968.27,1971.03,1119.0
2022-01-04 17:30:00,1971.03,1978.82,1968.11,1975.9,1295.0
2022-01-04 17:45:00,1975.9,1985.06,1973.94,1983.09,645.0
2022-01-04 18:00:00,1983.09,1997.74,1979.08,1993.72,504.0
2022-01-04 18:15:00,1993.72,2018.75,1984.94,2009.91,616.0
2022-01-04 18:30:00,2009.91,2017.92,2002.0,2010.01,915.0
2022-01-04 18:45:00,2010.01,2037.01,2001.45,2028.37,2308.0
2022-01-04 19:00:00,2028.37,2040.9,2023.07,2035.58,1286.0
2022-01-04 19:15:00,2035.58,2049.12,2027.63,2041.15,2842.0
2022-01-04 19:30:00,2041.15,2043.42,2018.11,2020.36,1427.0
2022-01-04 19:45:00,2020.36,2046.15,2016.57,2042.32,1108.0
2022-01-04 20:00:00,2042.32,2050.26,2040.9,2048.83,763.0
2022-01-04 20:15:00,2048.83,2066.89,2047.42,2065.47,456.0
2022-01-04 20:30:00,2065.47,2068.58,2062.77,2065.88,965.0
2022-01-04 20:45:00,2065.88,2066.21,2053.96,2054.29,516.0
2022-01-04 21:00:00,2054.29,2059.3,2048.15,2053.15,544.0
2022-01-04 21:15:00,2053.15,2059.75,2038.79,2045.36,1000.0
2022-01-04 21:30:00,2045.36,2059.61,2043.01,2057.25,413.0
2022-01-04 21:45:00,2057.25,2062.43,2054.08,2059.26,1264.0
2022-01-04 22:00:00,2059.26,2064.58,2049.28,2054.59,728.0
2022-01-04 22:15:00,2054.59,2061.23,2050.49,2057.12,894.0
2022-01-04 22:30:00,2057.12,2063.86,2039.68,2046.39,1643.0
2022-01-04 22:45:00,2046.39,2057.89,2033.81,2045.31,804.0
2022-01-04 23:00:00,2045.31,2060.05,2044.99,2059.73,525.0
2022-01-04 23:15:00,2059.73,2069.0,2047.45,2056.71,502.0
2022-01-04 23:30:00,2056.71,2081.62,2049.57,2074.42,704.0
2022-01-04 23:45:00,2074.42,2081.39,2070.86,2077.83,981.0
2022-01-05 00:00:00,2077.83,2099.52,2065.28,2086.91,480.0
2022-01-05 00:15:00,2086.91,2090.19,2086.25,2089.53,530.0
2022-01-05 00:30:00,2089.53,2092.03,2068.92,2071.39,3066.0
2022-01-05 00:45:00,2071.39,2074.24,2069.33,2072.18,1241.0
2022-01-05 01:00:00,2072.18,2081.03,2059.55,2068.39,1585.0
2022-01-05 01:15:00,2068.39,2087.36,2056.2,2075.14,418.0
2022-01-05 01:30:00,2075.14,2079.41,2070.75,2075.02,828.0
2022-01-05 01:45:00,2075.02,2097.49,2061.48,2083.89,822.0
2022-01-05 02:00:00,2083.89,2095.49,2075.02,2086.6,584.0
2022-01-05 02:15:00,2086.6,2086.78,2078.62,2078.79,406.0
2022-01-05 02:30:00,2078.79,2084.25,2070.43,2075.88,1361.0
2022-01-05 02:45:00,2075.88,2079.43,2058.06,2061.58,529.0
