result,direction,source,session,entry_time,exit_time,pips,lots,pnl,equity,month
be,buy,buy_sweep,london,2025-01-15T07:45:00+00:00,2025-01-15T08:25:00+00:00,0,1.0,0.0,10000.0,2025-01
be,buy,buy_sweep,ny,2025-03-12T12:00:00+00:00,2025-03-12T12:30:00+00:00,0,1.0,0.0,10000.0,2025-03
win,buy,buy_sweep,london,2025-03-14T08:15:00+00:00,2025-03-14T10:35:00+00:00,34,1.0,340.0,10340.0,2025-03
loss,buy,buy_sweep,london,2025-03-20T07:30:00+00:00,2025-03-20T07:40:00+00:00,-15,1.03,-154.5,10185.5,2025-03
win,buy,buy_sweep,ny,2025-03-28T12:45:00+00:00,2025-03-28T13:50:00+00:00,34,1.02,346.8,10532.3,2025-03
be,buy,buy_sweep,london,2025-04-03T08:35:00+00:00,2025-04-03T08:35:00+00:00,0,1.05,0.0,10532.3,2025-04
be,sell,sell_sweep,ny,2025-04-04T12:25:00+00:00,2025-04-04T12:30:00+00:00,0,1.05,0.0,10532.3,2025-04
loss,sell,sell_sweep,ny,2025-04-08T12:10:00+00:00,2025-04-08T12:35:00+00:00,-15,1.05,-157.5,10374.8,2025-04
be,buy,buy_sweep,london,2025-04-14T07:35:00+00:00,2025-04-14T08:30:00+00:00,0,1.04,0.0,10374.8,2025-04
win,buy,buy_sweep,london,2025-04-21T07:30:00+00:00,2025-04-21T07:55:00+00:00,34,1.04,353.6,10728.4,2025-04
be,sell,sell_sweep,ny,2025-04-21T12:00:00+00:00,2025-04-21T12:55:00+00:00,0,1.07,0.0,10728.4,2025-04
be,sell,sell_sweep,ny,2025-04-28T12:25:00+00:00,2025-04-28T13:40:00+00:00,0,1.07,0.0,10728.4,2025-04
be,buy,buy_sweep,ny,2025-04-29T12:35:00+00:00,2025-04-29T14:45:00+00:00,0,1.07,0.0,10728.4,2025-04
be,buy,buy_sweep,ny,2025-05-02T13:35:00+00:00,2025-05-02T13:35:00+00:00,0,1.07,0.0,10728.4,2025-05
win,buy,buy_sweep,ny,2025-05-20T12:15:00+00:00,2025-05-20T17:35:00+00:00,34,1.07,363.8,11092.2,2025-05
loss,buy,buy_sweep,london,2025-05-22T07:00:00+00:00,2025-05-22T07:30:00+00:00,-15,1.11,-166.5,10925.7,2025-05
loss,buy,buy_sweep,london,2025-05-26T07:35:00+00:00,2025-05-26T09:40:00+00:00,-15,1.09,-163.5,10762.2,2025-05
loss,buy,buy_sweep,london,2025-06-03T07:35:00+00:00,2025-06-03T09:00:00+00:00,-15,1.08,-162.0,10600.2,2025-06
loss,sell,sell_sweep,ny,2025-06-05T12:00:00+00:00,2025-06-05T12:30:00+00:00,-15,1.06,-159.0,10441.2,2025-06
be,buy,buy_sweep,ny,2025-06-16T13:00:00+00:00,2025-06-16T15:15:00+00:00,0,1.04,0.0,10441.2,2025-06
win,sell,sell_sweep,ny,2025-06-17T12:45:00+00:00,2025-06-17T14:30:00+00:00,34,1.04,353.6,10794.8,2025-06
be,buy,buy_sweep,london,2025-06-19T08:00:00+00:00,2025-06-19T14:45:00+00:00,0,1.08,0.0,10794.8,2025-06
be,buy,buy_sweep,london,2025-07-14T07:35:00+00:00,2025-07-14T13:05:00+00:00,0,1.08,0.0,10794.8,2025-07
be,buy,buy_sweep,london,2025-07-17T07:00:00+00:00,2025-07-17T10:15:00+00:00,0,1.08,0.0,10794.8,2025-07
be,buy,buy_sweep,ny,2025-07-24T13:20:00+00:00,2025-07-24T13:45:00+00:00,0,1.08,0.0,10794.8,2025-07
loss,buy,buy_sweep,london,2025-07-28T07:00:00+00:00,2025-07-28T07:30:00+00:00,-15,1.08,-162.0,10632.8,2025-07
be,buy,buy_sweep,london,2025-08-21T07:30:00+00:00,2025-08-21T11:45:00+00:00,0,1.06,0.0,10632.8,2025-08
win,buy,buy_sweep,london,2025-09-03T08:00:00+00:00,2025-09-03T14:00:00+00:00,34,1.06,360.4,10993.2,2025-09
be,buy,buy_sweep,london,2025-09-18T07:15:00+00:00,2025-09-18T12:30:00+00:00,0,1.1,0.0,10993.2,2025-09
win,sell,sell_sweep,ny,2025-10-08T13:20:00+00:00,2025-10-08T15:50:00+00:00,34,1.1,374.0,11367.2,2025-10
loss,sell,sell_sweep,ny,2025-12-17T12:20:00+00:00,2025-12-17T13:15:00+00:00,-15,1.14,-171.0,11196.2,2025-12
be,buy,buy_sweep,ny,2025-12-18T13:15:00+00:00,2025-12-18T13:15:00+00:00,0,1.12,0.0,11196.2,2025-12
